id,CPUUsage,RAMUsage,DownloadSpeed,UploadSpeed,Temperature,Humidity,Class
164,14.4,72.4,180.7263219,82.69053167,29.60258675,57.93996429,0
165,20.4,73.5,195.302111,92.40158013,29.53017426,58.20912933,0
166,17.8,73.2,206.9398346,79.37983373,29.29482841,58.12462616,0
167,18,73.6,141.5326665,83.35867301,29.27672577,58.14653015,0
168,18.5,74,171.4580378,94.46235496,29.27672577,58.33432007,0
169,18.5,74.3,180.1373436,97.08964672,29.47586441,58.0150795,0
170,9.3,74.5,208.1906731,100.4621669,29.53017426,58.18096161,0
171,10.9,74.5,233.508843,94.59390183,29.69310379,58.14653015,0
172,10,74.7,195.6436223,95.72827167,29.71120834,60.26229858,0
173,11.8,74.6,190.3687014,91.80896327,29.6568985,60.55336761,0
174,14.7,74.7,126.6757061,94.73775635,29.69310379,60.61909485,0
175,12.9,74.8,133.3667163,97.0922825,29.72931099,60.88825989,0
176,16.4,75.2,146.2713753,95.33228578,29.63879395,60.77558899,0
177,12.4,75.3,139.2181333,96.15120827,29.78362274,61.22941208,0
178,11.5,75.5,156.4131779,95.78094688,29.91034698,63.64876556,0
179,19.7,76.2,148.7414284,92.57959211,30.00086212,63.59869385,0
180,13.1,76.2,132.7407538,94.80787261,30.18189621,63.35769653,0
181,13.3,76.4,152.4537939,93.1026891,29.74741364,60.41252899,0
182,11.9,76.7,205.1498958,91.67175236,29.74741364,60.47199249,0
183,13.7,77,118.8068715,89.96052529,29.69310379,60.30924225,0
184,13.9,77.2,121.9256561,89.63106698,29.74741364,60.40000916,0
185,11.2,77.3,134.2561156,95.60098454,29.69310379,60.20595932,0
186,10.5,77.5,151.9156855,81.96744088,29.5844841,60.55336761,0
187,10.8,77.9,169.884434,92.71410288,29.85603523,60.36870956,0
188,12.8,79,131.5653233,98.19346207,30.03707123,60.02755737,0
189,13.4,79.7,129.6549742,106.2976751,29.87413788,61.49857712,0
190,24,85.8,162.5442584,94.20889098,30.00086212,59.94618225,1
191,24.2,80.4,230.2854813,96.67253497,29.96465683,59.78343201,1
192,17,81.4,190.7793183,93.4695216,30.03707123,59.66762924,1
193,20.1,80.1,128.4867588,112.4236393,29.67500114,59.64572144,1
194,10.5,80.2,194.780133,107.5742706,29.62068939,59.63007355,1
195,15.2,80,212.0108198,106.2933617,29.67500114,60.00878143,0
196,10.3,80.1,218.2793306,123.21207,29.69310379,59.32021713,1
197,10.5,80.3,209.2329271,94.66050472,29.60258675,59.6394577,1
198,11.3,81,188.1469226,98.10015441,29.63879395,58.27485657,1
199,10,80.8,186.181046,95.26082381,29.96465683,59.10739136,1
200,23.5,81.5,166.5318529,94.7272252,29.94655228,59.20441437,1
201,11.2,81.7,117.6913012,88.90901407,29.92844963,59.05418396,1
202,12.2,82,188.5163292,90.85246313,29.94655228,58.93212128,1
203,11.7,82.2,210.0766667,123.252136,29.92844963,59.10425949,1
204,10.4,65.1,172.0851802,107.3970665,29.4396553,59.7615242,0
205,12.8,65,216.6277797,92.70588198,29.38534546,59.64884949,0
206,10.7,65.1,130.9014904,49.19919031,29.34914017,59.55182648,0
